"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"10130",733.511400476912,762.264,"MGDG 28:0","MGDG","IP_DAG","Orbi_1231",53527.7537133002,"+NP","negative"
"10131",919.551410733171,791.7665,"PDPT 41:8","PDPT","IP_DAG","Orbi_1231",263899.226332269,"+NP","negative"
"10132",1003.67272013884,763.6115,"MGDG 46:7 +2O","MGDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10133",808.55016663846,878.327,"PE 40:5 +1O","PE","IP_DAG","Orbi_1231",890554.416213472,"+NP","negative"
"10134",539.432067863107,600.008,"DAG 29:1 +1O","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10135",577.411415175577,584.675,"DAG 31:4 +2O","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10136",650.428004356981,595.58,"DGTS_DGTA 24:4","DGTS_DGTA","IP_DAG","Orbi_1231",0,"+NP","negative"
"10137",817.468189607622,616.757,"PDPT 32:4 +1O","PDPT","IP_DAG","Orbi_1231",0,"+NP","negative"
"10138",1041.65381295918,615.392,"SQDG 47:5 +3O","SQDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10139",479.338002682386,587.737,"DAG 25:3 +1O","DAG","IP_DAG","Orbi_1231",5355.35758052898,"+NP","negative"
"10140",491.374498419047,581.4495,"DAG 27:3","DAG","IP_DAG","Orbi_1231",33331.5053452997,"+NP","negative"
"10141",549.416439065168,576.8395,"DAG 30:3 +1O","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10142",645.436588440273,616.908,"DAG 35:6 +3O","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10143",725.423205734872,576.218,"PG 29:1 +3O","PG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10144",787.456572460999,583.382,"PG 38:9","PG","IP_DAG","Orbi_1231",9768.52363346155,"+NP","negative"
"10145",915.533706760326,581.853,"DGDG 30:4","DGDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10146",801.435648650247,651.34,"PG 38:10 +1O","PG","IP_DAG","Orbi_1231",716274.398940421,"+NP","negative"
"10147",965.548531993469,645.8825,"DGDG 34:7","DGDG","IP_DAG","Orbi_1231",117658.053627571,"+NP","negative"
"10148",777.479839561327,657.443,"MGDG 32:6","MGDG","IP_DAG","Orbi_1231",673855.48153055,"+NP","negative"
"10149",991.563916155577,651.9245,"DGDG 36:8","DGDG","IP_DAG","Orbi_1231",204405.895673171,"+NP","negative"
"10150",755.495409097775,675.4355,"MGDG 30:3","MGDG","IP_DAG","Orbi_1231",342131.459208056,"+NP","negative"
"10151",641.478834848005,696.457,"DAG 37:6 +1O","DAG","IP_DAG","Orbi_1231",8302.7932140616,"+NP","negative"
"10152",652.443323511839,662.747,"DGTS_DGTA 24:3","DGTS_DGTA","IP_DAG","Orbi_1231",72665.2774054319,"+NP","negative"
"10153",843.526672349082,662.747,"MGDG 37:8","MGDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10154",845.54223172081,703.115,"MGDG 37:7","MGDG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10155",865.503039514731,664.439,"PG 44:12","PG","IP_DAG","Orbi_1231",83752.3173834302,"+NP","negative"
"10156",481.353326560694,659.9665,"DAG 25:2 +1O","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10157",505.389934901991,706.159,"DAG 28:3","DAG","IP_DAG","Orbi_1231",128234.855475298,"+NP","negative"
"10158",545.421156443495,690.964,"DAG 31:4","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10159",557.420868037352,686.6,"DAG 32:5","DAG","IP_DAG","Orbi_1231",0,"+NP","negative"
"10160",625.447526418065,718.9435,"DAG 36:7 +1O","DAG","IP_DAG","Orbi_1231",15283.1042454827,"+NP","negative"
"10161",656.428995839178,723.483,"PE 30:3","PE","IP_DAG","Orbi_1231",103860.094712011,"+NP","negative"
"10162",708.505923313155,679.307,"DGTS_DGTA 28:3","DGTS_DGTA","IP_DAG","Orbi_1231",0,"+NP","negative"
"10163",756.461697182628,698.209,"PE 38:9","PE","IP_DAG","Orbi_1231",6994.40768494394,"+NP","negative"
