"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"10894",993.579363,700.051,"DGDG 36:7","DGDG","IP_DAG","Orbi_1233",568648.481689486,"+NP","negative"
"10895",680.4286117,695.682,"PE 32:5","PE","IP_DAG","Orbi_1233",211063.694536948,"+NP","negative"
"10896",323.2955032,679.537,"FFA 21:1","FFA","FFA","Orbi_1233",92183.7903438296,"+NP","negative"
"10897",665.417859,678.7755,"PA 34:5","PA","IP_DAG","Orbi_1233",41664.6187178875,"+NP","negative"
"10898",383.3532617,682.542,"FFA 24:0 +1O","FFA","FFA","Orbi_1233",583662.518017225,"+NP","negative"
"10899",649.4687935,669.638,"DAG 35:4 +3O","DAG","IP_DAG","Orbi_1233",96600.080232378,"+NP","negative"
"10900",803.451096,661.2355,"PG 38:9 +1O","PG","IP_DAG","Orbi_1233",3381748.98078365,"+NP","negative"
"10901",829.5018526,658.3275,"PA 44:9 +2O","PA","IP_DAG","Orbi_1233",499210.021503994,"+NP","negative"
"10902",858.5293266,687.5235,"PC 38:9","PC","IP_DAG","Orbi_1233",540369.291970236,"+NP","negative"
"10903",882.5287866,694.291,"PC 40:11","PC","IP_DAG","Orbi_1233",263909.575858898,"+NP","negative"
"10904",900.5635117,693.388,"BLL 44:12","BLL","IP_DAG","Orbi_1233",611507.708017688,"+NP","negative"
"10905",934.6029879,684.4615,"PC 38:3 +4O","PC","IP_DAG","Orbi_1233",342609.528843981,"+NP","negative"
"10906",937.5142229,675.3715,"SQDG 44:12","SQDG","IP_DAG","Orbi_1233",66630.7091418008,"+NP","negative"
"10907",279.2329973,487.2135,"FFA 18:2","FFA","FFA","Orbi_1233",13545869.2937191,"+NP","negative"
"10908",329.248793,490.049,"FFA 22:5","FFA","FFA","Orbi_1233",43207503.6106466,"+NP","negative"
"10909",507.3690417,486.509,"DAG 27:3 +1O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10910",981.7166767,1042.1,"PG 50:4 +1O","PG","IP_DAG","Orbi_1233",672489.114447752,"+NP","negative"
"10911",661.5778914,1049.3,"DAG 39:2","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10912",791.6411578,1044.185,"DAG 45:3 +3O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10913",765.6257751,1040.23,"DAG 43:2 +3O","DAG","IP_DAG","Orbi_1233",837675.12396607,"+NP","negative"
"10914",845.6512612,1053.5,"DAG 48:5 +4O","DAG","IP_DAG","Orbi_1233",12863.2973832365,"+NP","negative"
