"","peakgroup_mz","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rt","peakgroup_rtmin","peakgroup_rtmax","npeaks","mzXML_pos","Orbi_1129","Orbi_1130","Orbi_1131","Orbi_1132","Orbi_1133","Orbi_1134","Orbi_1135","Orbi_1136","xcms_peakgroup","isotopes","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","LOBdbase_mz","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","elem_formula","compound_name","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","LOBdbase_ppm_match","match_ID"
"3831",649.471717144612,649.416101702,649.471940750874,396.697502784011,393.452567031736,434.498070748626,6,6,36162.2323352,201291.3507875,30208.4311888443,185820.113330273,96785.7356445312,143419.08950765,212265.737573649,143791.486199341,4165,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3832",649.571103529622,649.551227532618,649.607766832316,902.026738263553,859.540567981897,978.079169288562,19,8,1347111.60688825,1345093.019578,344351.984759766,1167059.34189795,1269299.05588449,1224569.15435791,1530873.26520787,1775780.72604584,4166,"[382][M]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3833",650.124629324453,650.124171443199,650.126576628588,719.711626206772,718.138099177195,720.021188692986,8,8,1170796.6993476,703014.978378298,2136191.62011046,912950.101719141,985820.385198351,1370626.23130688,944708.511169919,771471.453726282,4167,"[380][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3834",650.225230646368,650.225137067438,650.277085714782,319.45573446657,314.609757409352,331.982824595249,9,8,5935428.45067635,5416997.69690385,3417614.17281529,7325560.83496734,6115359.84780416,6185917.40092801,5236241.7291995,5020139.24183482,4168,"[383][M]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3835",650.346134102767,650.313773218028,650.389862304306,114.129082774086,101.707162337767,189.900334195625,19,8,673601.603086093,7022744.58455029,1035864.87494659,526463.910645133,759219.301951299,968602.334060659,1238265.46884856,11171264.5939871,4169,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3836",650.501344430356,650.404464820014,650.535649793539,852.896568785567,808.950739930352,943.35845893821,29,8,1810344.70844141,2969109.78508207,989682.56213221,2443118.31101998,2717403.62910575,2848129.14901968,2954106.76555748,4459661.07789063,4170,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3837",650.36434090997,650.330720474681,650.423114719856,347.299358822439,334.60767564613,432.937542902428,10,8,767497.137711588,985324.79690057,234966.569986523,852042.548730468,1131860.09830198,890268.523911132,1417946.06302051,1212808.30871962,4172,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3838",650.468887067816,650.468713020687,650.469220174982,580.288768728533,577.57339799351,580.985391706779,8,8,1799821.63050781,1403698.54699569,625479.504734864,1594638.92769031,1961907.2018208,1893869.37582961,1570875.49371061,1388158.63471509,4173,"[381][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3839",650.574102881364,650.573812591398,650.574558294284,901.911610255542,899.321156670914,902.723989948976,6,6,266314.276478321,352793.851408204,20300.3494875168,162436.516891211,179861.971252733,125855.627212631,386409.662187889,404350.338928163,4175,"[382][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3840",651.120999896526,651.120770850939,651.121254847246,719.711626206772,718.138099177195,720.021188692986,8,8,962471.82091846,626316.118104555,1631647.53724826,695124.738561665,689259.313673177,1022886.02359863,697467.251499022,573191.451715959,4176,"[380][M+2]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
