"","peakgroup_mz","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rt","peakgroup_rtmin","peakgroup_rtmax","npeaks","mzXML_pos","Orbi_1229","Orbi_1230","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1235","Orbi_1236","xcms_peakgroup","isotopes","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","LOBdbase_mz","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","elem_formula","compound_name","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","LOBdbase_ppm_match","match_ID"
"3391",671.540412291443,671.540297331873,671.556663332878,777.368,773.623,813.914,7,7,5691413.2216805,379895.376836752,1527242.51055534,1408722.71898999,472376.564601268,847341.567839354,4536883.5829746,5009658.16055468,3800,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3392",671.584942871083,671.548427801526,671.601726723675,956.709,944.822,983.639,5,4,348771.720407029,157560.673798144,0,0,891679.267096091,3099959.45113671,0,0,3801,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3393",672.274940062102,672.218454229969,672.275113438282,351.081,326.777,354.386,11,6,600858.132916259,152608.002566682,4599444.14721768,6204798.22189544,130299.94725865,402102.695384543,3340573.36499505,1508671.16954687,3802,"[365][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3394",672.525627395687,672.40739285216,672.526155776802,466.409,435.045,557.51,17,8,3439360.4166901,3544455.66687023,4602184.32899175,3930476.60449392,3814193.0040961,2587592.28010156,3586715.62178124,3352109.42315987,3803,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3395",672.412895521431,672.291259119793,672.453171008915,341.9325,269.254,379.349,10,5,996690.591996581,871610.008529947,457109.733679199,0,0,665272.440025606,124047.286573308,341414.466745606,3804,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3396",672.515952095075,672.457683395864,672.569000979658,800.019,698.403,868.925,36,8,1403836.01426381,833895.239430503,931039.070565281,2202129.89860026,314981.822419922,362876.062096354,2581897.04668674,115629.218644206,3805,"[366][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3397",672.626639421998,672.553083914218,672.629433106794,1048.12,926.907,1107.67,19,8,59924855.5491406,1453382.78998606,12473727.559073,111497.602626953,6393216.47899553,12337445.8757227,6566660.34601006,15865198.7167969,3806,"[362][M+4]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3398",673.486148004827,673.408145660673,673.529302171176,452.614,420.109,518.481,20,7,392718.413225725,1148931.61856283,0,518934.75069983,1311576.21139931,2321666.58561057,329057.511577149,1702954.43748103,3807,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3399",673.488386624658,673.463468002682,673.536910464729,715.081,705.859,759.404,12,4,836848.726758056,0,17831.8249455653,14231.4924791455,0,125363.163325781,1171123.08360145,3576607.9181608,3808,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3400",673.299702661573,673.298925160489,673.421594134821,345.277,329.829,378.816,9,5,1261164.84391885,204547.796485026,28188.4198194221,686135.487287597,0,4517204.84892361,142159.912025699,284370.60332898,3809,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3401",673.52819693534,673.423374127528,673.578484627484,829.349,773.788,944.884,25,7,1332518.72169705,289349.822434895,183726.207179055,554791.167312501,128760.941324463,268060.382041666,580856.654222414,510184.98840153,3810,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3402",673.632609364753,673.546034903958,673.632755679879,1054.815,1013.14,1108.99,10,6,28107604.8551953,245969.684707032,4086683.42511225,1080269.01421875,3348746.90812135,6026920.27962895,2917486.21811524,7516244.73027623,3812,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3403",674.300994905508,674.272372293343,674.413306722803,363.502,336.18,439.451,9,5,113736.006020606,0,0,466472.637928711,0,758472.286261665,657771.236674129,861926.23929362,3813,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3404",674.485997941141,674.362178960272,674.519268865341,615.2175,521.492,710.244,14,6,2359212.99794664,15839.1863449053,116735.803656948,2215899.42551013,15596.833475438,12889501.4489156,384116.114405763,4705184.21436133,3815,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3405",674.642250457657,674.606076065787,674.644978734908,1086.715,1048.12,1120.21,14,7,10577394.6559136,259858.150927734,386112.022750854,193607.653148438,831993.285640621,5088646.16802735,687009.657812502,2995554.25095949,3816,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3406",674.505339248016,674.505046893784,674.505560991403,157.1235,153.578,157.533,8,8,1776940.43756328,971817.081487592,1717868.34623828,603352.444375342,928013.2993573,1346792.19059933,886984.383496094,1370305.54860474,3817,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3407",675.218768878505,675.169866087069,675.266866276407,200.919,181.9,222.576,8,6,1208116.36350781,698808.98321303,977735.105368056,733766.170199632,71189.6542481525,3823541.4521317,24450.860606961,84671.2549933595,3819,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3408",675.128354182565,675.127824053654,675.128573260663,1674.015,1672.97,1675.36,4,4,80787.9285933177,52954.541541338,149826.242896484,148105.895166017,80265.2779388428,77431.9966259761,101965.943481445,106816.309910156,3820,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3409",675.49223031648,675.425552136052,675.539231993971,827.6765,764.566,962.675,36,8,6106874.95589845,765573.462082247,880768.015892579,872288.023095703,382000.949698406,4297907.37058828,4006415.52459461,2884776.67394966,3821,"[367][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3410",675.424006574288,675.30319341351,675.47339716738,345.263,251.045,500.045,19,7,4272276.81344027,138914.796140956,318877.537059354,2489518.88987782,112907.85066709,10857864.5225098,1367045.66963135,6288926.0029197,3822,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
